design,year,month,side,reason_class,price_bucket,notional_bucket,fills,notional,slippage,avg_slippage,median_slippage,fees,transaction_cost,slippage_bps
A,2024,2024-01,SELL,NORMAL_STRATEGY,50-100,Q2,1,62719.75,297.25,297.25,297.25,105.362908025,402.612908025,47.39336492890995
A,2024,2024-01,SELL,NORMAL_STRATEGY,50-100,Q4,1,739755.5,3539.5,3539.5,3539.5,1242.71526445,4782.21526445,47.846889952153106
A,2024,2024-02,BUY,NORMAL_STRATEGY,10-25,Q2,2,503625.06272754667,3857.1,1928.55,1928.55,846.0397428760057,4703.139742876006,76.58673655180324
A,2024,2024-02,BUY,NORMAL_STRATEGY,10-25,Q3,1,610389.0,5499.0,5499.0,5499.0,1025.3924811,6524.3924811,90.09009009009009
A,2024,2024-02,BUY,NORMAL_STRATEGY,10-25,Q4,2,1778925.1939697263,10004.0,5002.0,5002.0,2988.416433349744,12992.416433349743,56.236203938827614
A,2024,2024-02,BUY,NORMAL_STRATEGY,25-50,Q3,3,1139767.5,7169.75,2389.9166666666665,1743.5,1914.69542325,9084.44542325,62.90537324498198
A,2024,2024-02,BUY,NORMAL_STRATEGY,25-50,Q4,4,4852442.75,39194.5,9798.625,8265.875,8151.618575725,47346.118575725,80.77272009030915
A,2024,2024-02,BUY,NORMAL_STRATEGY,50-100,Q4,2,3045770.75,13599.5,6799.75,6799.75,5116.590282925,18716.090282924997,44.650438645127835
A,2024,2024-02,SELL,NORMAL_STRATEGY,10-25,Q2,4,530457.5715881347,3104.9,776.225,698.05,891.1156745109076,3996.0156745109075,58.53248527878022
A,2024,2024-02,SELL,NORMAL_STRATEGY,10-25,Q3,1,590131.2,2892.8,2892.8,2892.8,991.36140288,3884.1614028800004,49.019607843137265
A,2024,2024-02,SELL,NORMAL_STRATEGY,25-50,Q2,5,778184.0,5765.0,1153.0,1157.75,1307.2713016,7072.2713016,74.08273621662742
A,2024,2024-02,SELL,NORMAL_STRATEGY,25-50,Q4,3,9028925.5,80955.75,26985.25,18601.75,15167.691947450001,96123.44194745,89.6626625172619
A,2024,2024-02,SELL,NORMAL_STRATEGY,50-100,Q2,2,304460.25,1303.75,651.875,651.875,511.462773975,1815.212773975,42.82168197654702
A,2024,2024-02,SELL,NORMAL_STRATEGY,50-100,Q4,1,2191861.0,9698.5,9698.5,9698.5,3682.1072939,13380.6072939,44.24778761061947
A,2024,2024-03,BUY,NORMAL_STRATEGY,10-25,Q2,5,795481.002073288,5798.0,1159.6,1389.0,1336.3285353829165,7134.328535382916,72.88671866315455
A,2024,2024-03,BUY,NORMAL_STRATEGY,10-25,Q3,3,1643865.4190990448,8619.2,2873.066666666667,2692.3,2761.5295175444858,11380.729517544485,52.43251606767137
A,2024,2024-03,BUY,NORMAL_STRATEGY,25-50,Q2,3,497239.5,2895.5,965.1666666666666,1046.5,835.31263605,3730.81263605,58.231496089912405
A,2024,2024-03,BUY,NORMAL_STRATEGY,25-50,Q3,1,673056.5,3890.5,3890.5,3890.5,1130.6676143500001,5021.16761435,57.80346820809248
A,2024,2024-03,BUY,NORMAL_STRATEGY,25-50,Q4,6,5565416.0,39976.25,6662.708333333333,6027.25,9349.3423384,49325.5923384,71.82976079416166
A,2024,2024-03,BUY,NORMAL_STRATEGY,50-100,Q3,2,729543.0,3131.25,1565.625,1565.625,1225.5592857000001,4356.809285699999,42.92070515377434
A,2024,2024-03,SELL,NORMAL_STRATEGY,10-25,Q2,1,191488.00664062504,1740.8,1740.8,1740.8,321.680702355586,2062.480702355586,90.90908775644863
A,2024,2024-03,SELL,NORMAL_STRATEGY,10-25,Q3,4,2226654.6059928895,17035.9,4258.975,3949.7999999999997,3740.5570726074548,20776.457072607453,76.5089473425696
A,2024,2024-03,SELL,NORMAL_STRATEGY,10-25,Q4,1,735164.0,3076.0,3076.0,3076.0,1235.0020036,4311.0020036000005,41.84100418410041
A,2024,2024-03,SELL,NORMAL_STRATEGY,25-50,Q2,1,184034.0,1586.5,1586.5,1586.5,309.1587166,1895.6587166,86.20689655172414
A,2024,2024-03,SELL,NORMAL_STRATEGY,25-50,Q3,5,2754665.5,20420.75,4084.15,3890.5,4627.56257345,25048.31257345,74.13150525898698
A,2024,2024-03,SELL,NORMAL_STRATEGY,25-50,Q4,4,3268752.25,24453.5,6113.375,6556.125,5491.176904775,29944.676904775,74.8098911442432
A,2024,2024-03,SELL,NORMAL_STRATEGY,50-100,Q3,1,364720.0,1552.0,1552.0,1552.0,612.693128,2164.693128,42.5531914893617
A,2024,2024-04,BUY,NORMAL_STRATEGY,5-10,Q3,1,663222.2,4392.2,4392.2,4392.2,1114.1469737799998,5506.34697378,66.2251655629139
