symbol,feature,horizon_days,sample_size,pearson,spearman,true_mean,false_mean
HMPRO,sma20_gt_sma50,1,878,-0.0322987756002306,-0.020105514189250096,-0.001828356763731646,-0.00042153175203024835
HMPRO,sma20_gt_sma50,3,878,-0.052022017319033685,-0.040990976814559224,-0.005308288674246303,-0.0013610364373756922
HMPRO,sma20_gt_sma50,5,878,-0.05271506721036914,-0.03052186278880244,-0.007730661038771169,-0.002719399430455866
HMPRO,sma20_gt_sma50,10,878,-0.07002818378650871,-0.04876414473745573,-0.014780452979049154,-0.005790571515651465
HMPRO,sma20_gt_sma50,20,878,-0.1370743734723874,-0.11074242723407444,-0.03423615625378589,-0.0095483662866801
HMPRO,volatility_20,1,858,0.06470763679522613,0.03454791740297962,,
HMPRO,volatility_20,3,858,0.11605739933447423,0.07609706534969089,,
HMPRO,volatility_20,5,858,0.1624986473827658,0.1173965903095572,,
HMPRO,volatility_20,10,858,0.22116950515596032,0.16995260452995967,,
HMPRO,volatility_20,20,858,0.16728072063908825,0.13248156901509872,,
HMPRO,volume_ratio_20,1,859,0.05410957859113199,0.044142747837138084,,
HMPRO,volume_ratio_20,3,859,0.030890285514301005,0.04173431630647735,,
HMPRO,volume_ratio_20,5,859,0.07345866382849775,0.10582288059268308,,
HMPRO,volume_ratio_20,10,859,0.15091972323115183,0.1568174907851776,,
HMPRO,volume_ratio_20,20,859,0.1332295645020021,0.12535122599990592,,
IVL,momentum_20,1,858,-0.0244813902956052,-0.03778744206846083,,
IVL,momentum_20,3,858,-0.030643309946070178,-0.045144274757890734,,
IVL,momentum_20,5,858,-0.035591986672023485,-0.0593149792105934,,
IVL,momentum_20,10,858,0.014468045254463605,-0.0037091904483154007,,
IVL,momentum_20,20,858,0.04965851479333038,0.035805441809236734,,
IVL,momentum_60,1,818,-0.01827860506880086,-0.03388076157612574,,
IVL,momentum_60,3,818,-0.03216287919160731,-0.028796791384419925,,
IVL,momentum_60,5,818,-0.03734051988525789,-0.039448369501458865,,
IVL,momentum_60,10,818,-0.055269268403503685,-0.06236706502595188,,
IVL,momentum_60,20,818,-0.10726687163754818,-0.12774882754435427,,
IVL,momentum_120,1,758,-0.08601612358573563,-0.08552920879272015,,
IVL,momentum_120,3,758,-0.13252467716893934,-0.13072487446661127,,
IVL,momentum_120,5,758,-0.15601591718877528,-0.15570129835265337,,
IVL,momentum_120,10,758,-0.2032235653953429,-0.1945701755521675,,
IVL,momentum_120,20,758,-0.27821549265504536,-0.2763322026028941,,
IVL,close_gt_sma20,1,878,-0.024124207030262763,-0.029259898721914684,-0.0010742700998948407,0.0001646904011559731
IVL,close_gt_sma20,3,878,-0.05443828450546189,-0.04341871109212826,-0.0038247477450579163,0.0009396130552252733
IVL,close_gt_sma20,5,878,-0.061052590430911755,-0.048080787171232,-0.005731695666928191,0.00106563964036225
IVL,close_gt_sma20,10,878,-0.014227948431763629,-0.005678603920769568,-0.005422554941583297,-0.0032321132445986313
IVL,close_gt_sma20,20,878,0.008097442673715089,-0.005424354730989179,-0.0066308652693505415,-0.008419186370641641
IVL,close_gt_sma50,1,878,-0.010957529587863604,-0.019348790508571,-0.000716860861531473,-0.0001453265975772441
IVL,close_gt_sma50,3,878,-0.012466510741183816,0.002125733918942006,-0.001783851533105111,-0.0006757735315272434
IVL,close_gt_sma50,5,878,-0.000897717622014906,0.020211071958996928,-0.0019151178959702587,-0.001813610063472221
IVL,close_gt_sma50,10,878,0.012332041425163727,0.03768749182582979,-0.0029933422173534516,-0.00492153119628173
IVL,close_gt_sma50,20,878,-0.010715499725685909,0.027604963356149537,-0.009121300354100375,-0.006717849455285642
IVL,sma20_gt_sma50,1,878,0.0209966685738702,0.01916692165589216,0.0002610629726204356,-0.0008207080600108485
IVL,sma20_gt_sma50,3,878,0.04726709988672024,0.0693868645688898,0.0013044138547355112,-0.00284550599561106
IVL,sma20_gt_sma50,5,878,0.04349597188722762,0.06184063034985087,0.0009688544786223884,-0.0038892201073401564
IVL,sma20_gt_sma50,10,878,0.04072666145449969,0.0707509009609789,-0.0005190271360205038,-0.0068089999264024925
IVL,sma20_gt_sma50,20,878,-0.015353764158861746,0.013897774079076643,-0.009627225118373009,-0.006225548499363432
IVL,volatility_20,1,858,0.10252088213679506,0.06773334715341481,,
IVL,volatility_20,3,858,0.17430655531979328,0.13075373511126478,,
IVL,volatility_20,5,858,0.2137205020088617,0.15681869494327658,,
IVL,volatility_20,10,858,0.2594899995578445,0.235442871364329,,
IVL,volatility_20,20,858,0.2581708624068058,0.28568577344355284,,
IVL,volume_ratio_20,1,859,0.0012493281568772732,0.03126528253657283,,
IVL,volume_ratio_20,3,859,0.03561160096724669,0.08286893614621334,,
IVL,volume_ratio_20,5,859,0.11747363328390467,0.09888634191567076,,
IVL,volume_ratio_20,10,859,0.09661597381516089,0.08914861674301687,,
