date,equity,positions,cash
2025-12-17,,5,11389.262915713632017327296
2025-12-18,,5,11389.262915713632017327296
2025-12-19,,5,11389.262915713632017327296
2025-12-22,,5,11389.262915713632017327296
2025-12-23,,5,11389.262915713632017327296
2025-12-24,,5,11389.262915713632017327296
2025-12-25,,5,11389.262915713632017327296
2025-12-26,,4,1008024.198586913632017327296
2025-12-29,,4,967523.8636037064116166176108
2025-12-30,,4,967523.8636037064116166176108
2026-01-05,,4,967523.8636037064116166176108
2026-01-06,,4,943952.582675301479999665976
2026-01-07,,4,943952.582675301479999665976
2026-01-08,,4,940581.0150149869941086888069
2026-01-09,,4,940581.0150149869941086888069
2026-01-12,,4,940581.0150149869941086888069
2026-01-13,,4,933463.109332996994108688807
2026-01-14,,4,933463.109332996994108688807
2026-01-15,,4,933463.109332996994108688807
2026-01-16,,4,933463.109332996994108688807
2026-01-19,,4,933463.109332996994108688807
2026-01-20,,4,933463.109332996994108688807
2026-01-21,,4,933463.109332996994108688807
2026-01-22,,4,933463.109332996994108688807
2026-01-23,,4,933463.109332996994108688807
2026-01-26,,4,933463.109332996994108688807
2026-01-27,,4,933463.109332996994108688807
2026-01-28,,4,933463.109332996994108688807
2026-01-29,,4,933463.109332996994108688807
2026-01-30,,4,933463.109332996994108688807
2026-02-02,,4,933463.109332996994108688807
2026-02-03,,4,933463.109332996994108688807
2026-02-04,,4,933463.109332996994108688807
2026-02-05,,3,2017244.101997466994108688807
2026-02-06,,5,17264.990267986752200130462
2026-02-09,,5,17264.990267986752200130462
2026-02-10,,5,17264.990267986752200130462
2026-02-11,,5,17264.990267986752200130462
2026-02-12,,5,17264.990267986752200130462
2026-02-13,,5,17264.990267986752200130462
2026-02-16,,5,17264.990267986752200130462
2026-02-17,,5,17264.990267986752200130462
2026-02-18,,5,17264.990267986752200130462
2026-02-19,,5,17264.990267986752200130462
2026-02-20,,5,17264.990267986752200130462
2026-02-23,,5,17264.990267986752200130462
2026-02-24,,5,20830.749828581752200130462
2026-02-25,,5,20830.749828581752200130462
2026-02-26,,5,20830.749828581752200130462
2026-02-27,,5,20830.749828581752200130462
2026-03-02,,4,988327.3618793852493245547813
2026-03-04,,4,843212.117109001724210277666
2026-03-05,,4,810706.063011146724210277666
2026-03-06,,2,3115867.106715146724210277666
2026-03-09,,2,3115867.106715146724210277666
2026-03-10,,2,3115867.106715146724210277666
2026-03-11,,3,2115886.306245521724210277666
2026-03-12,,3,2115886.306245521724210277666
2026-03-13,,3,2115886.306245521724210277666
2026-03-16,,3,2115886.306245521724210277666
2026-03-17,,3,2115886.306245521724210277666
2026-03-18,,3,2115886.306245521724210277666
2026-03-19,,3,2115886.306245521724210277666
2026-03-20,,3,2115886.306245521724210277666
2026-03-23,,4,1115906.691023237010957684018
2026-03-24,,4,1115906.691023237010957684018
2026-03-25,,4,1115906.691023237010957684018
2026-03-26,,3,2121236.428977086752374277666
2026-03-27,,3,2121236.428977086752374277666
2026-03-30,,3,2121236.428977086752374277666
2026-03-31,,4,1121259.885647036752374277666
2026-04-01,,4,1121259.885647036752374277666
2026-04-02,,5,121300.621295261752374277666
2026-04-03,,5,121300.621295261752374277666
2026-04-07,,5,121300.621295261752374277666
2026-04-08,,5,121300.621295261752374277666
2026-04-09,,5,121300.621295261752374277666
2026-04-10,,5,121300.621295261752374277666
2026-04-16,,5,121300.621295261752374277666
